player_id,puuid,rank_group,tier,division,league_points,wins,losses,game_name,tag_line
1,xZfsTAu4FwINHWkPTu1Ly8lfUy6YcgdFcuaz4btwsvAAelKD42FBRCyzmbUsiqJ1q2P3j6oe5HFRxA,CHALLENGER,CHALLENGER,I,3065,789,692,zwaker,T1WIN
2,CL-f8Ka5UKMD-FlVENf1leOrKKPK0whq1PiKjmkzm7B2uxs81OfKIhhY5OYnRJY2Vr0voci-sY1zuA,CHALLENGER,CHALLENGER,I,3550,542,417,indoor fish,EUW
3,E4eLwViqI2EyNl_jgnPmzhL_gSh_WWV7bPCBJXHfT8UNlSKborONuP18YvRdrUf_kxlg9CIHZahwWQ,CHALLENGER,CHALLENGER,I,2627,572,475,Dragdar,2902P
4,H4eVlzCj0NF3QwQyOUgg6aUqAiEr7s9hUTZJtP_Tlhz5tfSn2PaNGDT0d3O2AEBMOcl-z-W25JgE9w,CHALLENGER,CHALLENGER,I,2676,513,420,Dealersz,EUW
5,S7Fy1DXRlEHc_KTCMbaP_BIjPi-v0PYigtC0oiLkIA6_AVd8CGPhQ4xIII8bQbTfbXlqt7NEerpLRQ,CHALLENGER,CHALLENGER,I,2712,485,320,ANB Maged,44444
6,RB7KYv9SbHVs4zpVJZTvxojEXwT6r2UhzQA7c3qdD7FrnspalOkMIyn4o-sLyapK91Xh2R_8XhtxEg,CHALLENGER,CHALLENGER,I,2929,657,570,MetroArcher,EUW
7,Ixohe_NmUZvCpYiRdq9bOfXi91ayqx4xQhO6mdCZ4nvSSEFHJZV6yWwJp07k-a4u9uAUZgXOpg_uMg,CHALLENGER,CHALLENGER,I,3083,413,336,Percy Magic,1234
8,Pd78IrqRNCaXG3B07erw6JCSW84yDvLplUadH5Bqt05hlHTzS0n2LSN-w05o8nTMUWZ5Ej3I9D2Dvw,CHALLENGER,CHALLENGER,I,2369,512,393,Zefath,EUW
9,fXImzjYM9uLImdHHYLQjbyRDPzH5vrQXQ2_H8btqNti7FSdxRJBzdU7OtN1je3t39pbgAAoxa2I0Nw,CHALLENGER,CHALLENGER,I,3181,558,431,TwTv TwelveFiora,Aimer
10,cYEYDCqMlQ_wdxgQYK5CTBC8v_GVtORLOqnuMIY2G-K4sgs0y5yPgaW8nfRWbto1-SNrvptp3Ry-aQ,CHALLENGER,CHALLENGER,I,2459,427,332,chains,free
11,r-7Bh23Apy69dlqB_IyIsuO6-zdoEZSsh3aTxfLAHXvOC7hnIxUlH5XcRwK_LGG-0jc-1iOIHdwELQ,DIAMOND,DIAMOND,I,33,272,286,Smile Of Heaven,3209
12,Z_pOOF00r7lnMIfg_bErPEJbU1cdVD30zMGhGKJz7HTSKjD7Qt0bUxLjaiptr6TI_9H93JWl_xdIaw,DIAMOND,DIAMOND,I,95,178,150,TheCroneZ,EUW
13,2ND-HcB3_jQC--OHZxinN70pj1hUr48I9I4uSDJKtXap6POLFpbk7q1oD3gDzAwZ_jE5qy2TWRMu1w,DIAMOND,DIAMOND,I,21,243,247,egge,9999
14,9t_BbI2xQZv6M9W-aYAuowslHER_1WokrtrAkUxs0A_3Ahvlyfw-1Un9rI9VE_AfEq8usfGg4cFBLg,DIAMOND,DIAMOND,II,75,135,133,SickLikeMe v3,ENVY
15,TIoqqZOTEp85Zs2JuwNZ1pg6qSRcLnnUZrYD21OK063g5Lr7ISoGr4fsuZstejVmn8moPz4uJhESZw,DIAMOND,DIAMOND,II,84,254,238,CHN Hei,EUW
16,i-gZg-9eWliHmRlDBwRFaSTaadF9QioIijrxwDztpHT9b9Mj3lbSeicKXpLogb404cH9emwx1WPtTw,DIAMOND,DIAMOND,III,13,70,67,Prostats,LECHE
17,5Yadqb7nwcviEzAqpBBeiVoXBwXj5z5pO12cV5yYhnKiIDoudPFslG-AyP4L2qS-Zg6gN19cIKnA-A,DIAMOND,DIAMOND,IV,10,26,15,just observing,9999
18,40uBTnF5b8w6XcX6NT7QlbXcSAzBaU7pCaYnsqf_VhL56vvy8wAeHvtYlsR7DrJvNYDUheP4y6y0qg,DIAMOND,DIAMOND,I,41,76,70,firofr,ADR
19,FtobQmgxVCR_jRkWPdtlxKzEhKRFEocFKMXBVI1q1xQpyZvuAG-fSBxBVF96UYb54wpUNJX6WV37Rg,DIAMOND,DIAMOND,III,52,127,127,SeIah,EUW
20,2LZdXi6WRVmdhAgPbon0eAeIRLDK4IL7g3s0giOsLMCGQT_M_P9psjXmu1AAamePmaCn5cKp31yPZA,DIAMOND,DIAMOND,I,56,146,143,SaqMahDiq2,EUW
21,8LRDQia-9ip8YHk8_ywOTkaN-hS5Ylp2PYFsngTgjX8dJoj1SpA74G9_Iv3j9gyeEc8vq_V0P5iJYQ,GOLD,GOLD,IV,72,47,34,Corpse,500
22,JZzLzbecqoVW6LLiHz8UTW9QvFPf22U8qwPyxFYOizi0oouUGtK_GD_gDWuCaERjO938Gq7gFnS_Bw,GOLD,GOLD,IV,93,22,21,Dule2le,2le
23,o0WENnzt0W6IGvaGZcg7mZkx2x0cnnqa_aMDBz82eeEQ9BcZD29i7WM4qfN7lcZ1ZJQ05NGgXCgeDA,GOLD,GOLD,IV,12,35,22,Devine,EUWLD
